Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
 shardingsphere-master\shardingsphere-master\shardingsphere-kernel\shardingsphere-data-pipeline\shardingsphere-data-pipeline-dialect\shardingsphere-data-pipeline-postgresql\src\main\java\org\apache\shardingsphere\data\pipeline\postgresql\ingest\wal\event\DeleteRowEvent.java,0,2,0,1,0,3
 shardingsphere-master\shardingsphere-master\shardingsphere-distsql\shardingsphere-distsql-statement\src\main\java\org\apache\shardingsphere\distsql\parser\statement\ral\common\updatable\LabelInstanceStatement.java,11,8,0,2,0,10
 shardingsphere-master\shardingsphere-master\shardingsphere-features\shardingsphere-encrypt\shardingsphere-encrypt-core\src\main\java\org\apache\shardingsphere\encrypt\metadata\EncryptTableMetaDataBuilder.java,0,30,0,26,0,56
 shardingsphere-master\shardingsphere-master\shardingsphere-test\shardingsphere-parser-test\src\main\java\org\apache\shardingsphere\test\sql\parser\parameterized\asserts\statement\dal\impl\MySQLDelimiterStatementAssert.java,0,4,0,7,0,11
 shardingsphere-master\shardingsphere-master\shardingsphere-sql-parser\shardingsphere-sql-parser-statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\common\statement\ddl\PrepareStatement.java,47,13,0,7,4,24
 shardingsphere-master\shardingsphere-master\shardingsphere-infra\shardingsphere-infra-common\src\main\java\org\apache\shardingsphere\infra\datanode\DataNodeBuilder.java,0,2,0,2,0,4
 shardingsphere-master\shardingsphere-master\shardingsphere-sql-parser\shardingsphere-sql-parser-statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\dialect\statement\mysql\ddl\MySQLDropIndexStatement.java,0,4,0,5,1,10
 shardingsphere-master\shardingsphere-master\shardingsphere-infra\shardingsphere-infra-common\src\test\java\org\apache\shardingsphere\infra\database\metadata\DataSourceMetaDataTest.java,0,23,0,22,0,45
 shardingsphere-master\shardingsphere-master\shardingsphere-sql-parser\shardingsphere-sql-parser-statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\dialect\statement\postgresql\dml\PostgreSQLDoStatement.java,0,1,0,5,0,6
 shardingsphere-master\shardingsphere-master\shardingsphere-sql-parser\shardingsphere-sql-parser-engine\src\test\java\org\apache\shardingsphere\sql\parser\core\database\cache\ParseTreeCacheLoaderTest.java,0,7,1,5,1,14
 shardingsphere-master\shardingsphere-master\shardingsphere-infra\shardingsphere-infra-common\src\test\java\org\apache\shardingsphere\infra\config\fixture\WithoutInitAlgorithm.java,0,3,0,1,0,4
 shardingsphere-master\shardingsphere-master\shardingsphere-features\shardingsphere-encrypt\shardingsphere-encrypt-core\src\main\java\org\apache\shardingsphere\encrypt\rewrite\token\generator\EncryptInsertOnUpdateTokenGenerator.java,0,80,0,76,0,156
 shardingsphere-master\shardingsphere-master\examples\shardingsphere-jdbc-example\single-feature-example\transaction-example\transaction-2pc-xa-spring-boot-example\src\main\java\org\apache\shardingsphere\example\transaction\xa\spring\boot\TransactionConfiguration.java,25,3,0,1,0,4
 shardingsphere-master\shardingsphere-master\examples\other-example\shardingsphere-parser-example\src\main\java\org\apache\shardingsphere\example\parser\mysql\statement\MySQLParserStatementExample.java,0,35,1,10,0,46
 shardingsphere-master\shardingsphere-master\shardingsphere-mode\shardingsphere-mode-type\shardingsphere-cluster-mode\shardingsphere-cluster-mode-core\src\test\java\org\apache\shardingsphere\mode\manager\cluster\coordinator\lock\util\LockNodeUtilTest.java,0,6,0,2,0,8
 shardingsphere-master\shardingsphere-master\shardingsphere-sql-parser\shardingsphere-sql-parser-statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\common\value\literal\impl\StringLiteralValue.java,0,5,0,2,0,7
 shardingsphere-master\shardingsphere-master\shardingsphere-agent\shardingsphere-agent-plugins\shardingsphere-agent-plugin-metrics\shardingsphere-agent-metrics-api\src\test\java\org\apache\shardingsphere\agent\metrics\api\fixture\FixtureWrapperFactory.java,0,1,0,1,0,2
 shardingsphere-master\shardingsphere-master\shardingsphere-kernel\shardingsphere-single-table\shardingsphere-single-table-core\src\main\java\org\apache\shardingsphere\singletable\rule\builder\DefaultSingleTableSchemaRuleConfigurationBuilder.java,0,5,0,4,0,9
 shardingsphere-master\shardingsphere-master\shardingsphere-proxy\shardingsphere-proxy-backend\src\test\java\org\apache\shardingsphere\proxy\backend\text\admin\mysql\executor\ShowVersionExecutorTest.java,0,3,0,2,0,5
 shardingsphere-master\shardingsphere-master\shardingsphere-features\shardingsphere-sharding\shardingsphere-sharding-core\src\test\java\org\apache\shardingsphere\sharding\merge\dql\pagination\LimitDecoratorMergedResultTest.java,0,23,0,21,0,44
 shardingsphere-master\shardingsphere-master\shardingsphere-db-protocol\shardingsphere-db-protocol-mysql\src\main\java\org\apache\shardingsphere\db\protocol\mysql\packet\generic\MySQLErrPacket.java,0,23,0,5,0,28
