Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
Spring3-master\Spring3-master\src\main\java\study\ServletInitializer.java,9,4,0,3,0,7
 Spring3-master\Spring3-master\src\main\java\study\DemoProjectApplication.java,14,11,3,1,0,15
 Spring3-master\Spring3-master\src\test\java\study\DemoProjectApplicationTests.java,0,6,1,2,0,9
