Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
simple-jfx-mysql-main\simple-jfx-mysql-main\src\com\ashleytharp\controller\Controller.java,36,19,31,4,0,54
 simple-jfx-mysql-main\simple-jfx-mysql-main\src\com\ashleytharp\Main.java,7,5,1,1,0,7
 simple-jfx-mysql-main\simple-jfx-mysql-main\src\com\ashleytharp\dao\DBConnection.java,15,34,1,4,0,39
 simple-jfx-mysql-main\simple-jfx-mysql-main\src\com\ashleytharp\dao\Query.java,25,31,7,2,0,40
 simple-jfx-mysql-main\simple-jfx-mysql-main\src\com\ashleytharp\model\User.java,59,18,0,1,0,19
 simple-jfx-mysql-main\simple-jfx-mysql-main\src\com\ashleytharp\dao\UserDaoImpl.java,39,39,11,3,0,53
