Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\utils\service\XxxService.java,0,0,0,1,0,1
dubbo-3.0\dubbo-3.0\dubbo-registry\dubbo-registry-api\src\main\java\org\apache\dubbo\registry\client\metadata\MetadataServiceURLBuilder.java,0,2,0,2,0,4
dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\common\lang\ShutdownHookCallback.java,0,3,0,3,0,6
dubbo-3.0\dubbo-3.0\dubbo-metadata\dubbo-metadata-api\src\main\java\org\apache\dubbo\metadata\report\MetadataReportInstance.java,84,40,3,18,0,61
dubbo-3.0\dubbo-3.0\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\configurator\absent\AbsentConfiguratorFactory.java,9,3,0,1,0,4
dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\common\extension\ext6_inject\impl\DaoImpl.java,6,2,1,1,0,4
dubbo-3.0\dubbo-3.0\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\router\mesh\rule\virtualservice\match\StringMatch.java,77,45,0,1,0,46
dubbo-3.0\dubbo-3.0\dubbo-registry\dubbo-registry-api\src\main\java\org\apache\dubbo\registry\support\DefaultProviderFirstParams.java,12,5,1,4,0,10
dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-spring\src\main\java\org\apache\dubbo\config\spring\context\annotation\DubboConfigConfiguration.java,42,27,0,24,0,51
dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\common\config\configcenter\AbstractDynamicConfigurationTest.java,160,49,2,25,0,76
dubbo-3.0\dubbo-3.0\dubbo-metadata\dubbo-metadata-processor\src\main\java\org\apache\dubbo\metadata\annotation\processing\builder\TypeBuilder.java,0,4,0,2,0,6
dubbo-3.0\dubbo-3.0\dubbo-plugin\dubbo-qos\src\test\java\org\apache\dubbo\qos\legacy\service\generic\GenericServiceTest.java,284,59,5,34,0,98
dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-api\src\main\java\org\apache\dubbo\config\bootstrap\builders\ModuleBuilder.java,0,43,0,3,0,46
dubbo-3.0\dubbo-3.0\dubbo-test\dubbo-test-check\src\main\java\org\apache\dubbo\test\check\RegistryCenterFinished.java,16,7,1,3,0,11
dubbo-3.0\dubbo-3.0\dubbo-plugin\dubbo-qos\src\test\java\org\apache\dubbo\qos\command\impl\InvokeTelnetTest.java,230,90,1,65,0,156
dubbo-3.0\dubbo-3.0\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\support\BroadcastClusterInvoker.java,86,25,4,12,0,41
dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\metadata\definition\MethodDefinitionBuilder.java,48,11,0,3,0,14
dubbo-3.0\dubbo-3.0\dubbo-plugin\dubbo-qos\src\main\java\org\apache\dubbo\qos\command\impl\GetRecentRouterSnapshot.java,14,8,0,3,0,11
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-api\src\main\java\org\apache\dubbo\rpc\AttachmentsAdapter.java,48,15,0,3,0,18
dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\common\threadpool\MemoryLimiter.java,242,51,0,3,0,54
dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\common\function\ThrowableFunctionTest.java,10,2,0,1,0,3
dubbo-3.0\dubbo-3.0\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\loadbalance\ShortestResponseLoadBalance.java,126,35,1,14,0,50
dubbo-3.0\dubbo-3.0\dubbo-remoting\dubbo-remoting-api\src\test\java\org\apache\dubbo\remoting\PerformanceServerTest.java,127,45,9,25,0,79
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-api\src\test\java\org\apache\dubbo\rpc\filter\DeprecatedFilterTest.java,15,7,0,4,0,11
dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\common\utils\MethodUtils.java,0,48,7,38,0,93
dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-spring\src\main\java\org\apache\dubbo\config\spring\context\event\DubboConfigInitEvent.java,20,4,0,2,0,6
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-api\src\main\java\org\apache\dubbo\rpc\filter\AccessLogFilter.java,148,44,5,21,0,70
dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\rpc\model\MethodDescriptor.java,0,15,0,1,0,16
dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\common\config\ModuleEnvironment.java,197,64,0,14,0,78
dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\common\compiler\support\JdkCompiler.java,250,89,4,37,0,130
dubbo-3.0\dubbo-3.0\dubbo-remoting\dubbo-remoting-api\src\main\java\org\apache\dubbo\remoting\exchange\support\ExchangeHandlerDispatcher.java,84,50,0,7,0,57
dubbo-3.0\dubbo-3.0\dubbo-test\dubbo-test-check\src\main\java\org\apache\dubbo\test\check\registrycenter\RegistryCenter.java,0,0,0,1,0,1
