Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
 backendApi-main\backendApi-main\.mvn\wrapper\MavenWrapperDownloader.java,98,30,7,16,0,53
backendApi-main\backendApi-main\src\test\java\com\consultadd\CRUD\CrudApplicationTests.java,0,2,2,1,0,5
 backendApi-main\backendApi-main\src\main\java\com\consultadd\CRUD\responseObject\DeletedStudent.java,25,20,1,1,3,25
 backendApi-main\backendApi-main\src\main\java\com\consultadd\CRUD\requestObject\StudentMarks.java,34,31,1,1,0,33
 backendApi-main\backendApi-main\src\main\java\com\consultadd\CRUD\service\StudentService.java,34,33,1,2,0,36
 backendApi-main\backendApi-main\src\main\java\com\consultadd\CRUD\model\Student.java,82,83,4,2,0,89
 backendApi-main\backendApi-main\src\main\java\com\consultadd\CRUD\CrudApplication.java,8,5,2,1,0,8
 backendApi-main\backendApi-main\src\main\java\com\consultadd\CRUD\controller\MainController.java,39,53,8,6,0,67
 backendApi-main\backendApi-main\src\main\java\com\consultadd\CRUD\repository\StudentRepo.java,0,4,1,1,0,6
