Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
 hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-nodemanager\src\main\java\org\apache\hadoop\yarn\server\nodemanager\containermanager\resourceplugin\fpga\FpgaResourcePlugin.java,78,19,2,12,0,33
 hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\protocolrecords\ReInitializeContainerRequest.java,78,3,0,1,0,4
 hadoop-trunk\hadoop-trunk\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\server\namenode\snapshot\SnapshotDeletionGc.java,78,14,4,3,1,22
 hadoop-trunk\hadoop-trunk\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\viewfs\TestViewFsFileStatusHdfs.java,78,27,4,2,0,33
 hadoop-trunk\hadoop-trunk\hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\Retries.java,78,8,0,1,0,9
 hadoop-trunk\hadoop-trunk\hadoop-hdfs-project\hadoop-hdfs-nfs\src\test\java\org\apache\hadoop\hdfs\nfs\nfs3\TestClientAccessPrivilege.java,78,20,1,1,0,22
 hadoop-trunk\hadoop-trunk\hadoop-tools\hadoop-azure\src\test\java\org\apache\hadoop\fs\azurebfs\ITestAzureBlobFileSystemAttributes.java,78,11,0,6,0,17
 hadoop-trunk\hadoop-trunk\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-core\src\test\java\org\apache\hadoop\mapred\TestLocatedFileStatusFetcher.java,78,12,1,1,1,15
 hadoop-trunk\hadoop-trunk\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\hdfs\FileAppendTest4.java,78,53,1,7,0,61
 hadoop-trunk\hadoop-trunk\hadoop-common-project\hadoop-common\src\test\java\org\apache\hadoop\fs\contract\AbstractBondedFSContract.java,78,16,3,1,1,21
 hadoop-trunk\hadoop-trunk\hadoop-tools\hadoop-openstack\src\test\java\org\apache\hadoop\fs\swift\http\TestSwiftRestClient.java,78,9,7,1,2,19
 hadoop-trunk\hadoop-trunk\hadoop-tools\hadoop-rumen\src\main\java\org\apache\hadoop\tools\rumen\JobConfigurationParser.java,78,4,6,1,1,12
 hadoop-trunk\hadoop-trunk\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\hdfs\server\datanode\checker\TestDatasetVolumeCheckerTimeout.java,78,14,7,1,2,24
 hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-resourcemanager\src\main\java\org\apache\hadoop\yarn\server\resourcemanager\scheduler\capacity\allocator\ContainerAllocation.java,78,39,6,3,7,55
 kafka-trunk\kafka-trunk\connect\runtime\src\main\java\org\apache\kafka\connect\runtime\isolation\PluginClassLoader.java,78,0,0,18,0,18
 kafka-trunk\kafka-trunk\jmh-benchmarks\src\main\java\org\apache\kafka\jmh\admin\GetListOffsetsCallsBenchmark.java,78,0,3,11,0,14
 kafka-trunk\kafka-trunk\core\src\test\java\kafka\test\ClusterTestExtensionsTest.java,78,0,0,27,0,27
 kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\common\utils\LoggingSignalHandler.java,78,0,4,17,0,21
 kafka-trunk\kafka-trunk\connect\transforms\src\main\java\org\apache\kafka\connect\transforms\ValueToKey.java,78,0,0,8,0,8
 kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\common\requests\WriteTxnMarkersResponse.java,78,0,54,19,2,75
 kafka-trunk\kafka-trunk\connect\api\src\main\java\org\apache\kafka\connect\connector\policy\ConnectorClientConfigRequest.java,78,0,0,10,2,12
 kafka-trunk\kafka-trunk\connect\runtime\src\test\java\org\apache\kafka\connect\converters\NumberConverterTest.java,78,0,0,8,0,8
 kafka-trunk\kafka-trunk\clients\src\generated\java\org\apache\kafka\common\message\CreateAclsResponseDataJsonConverter.java,78,0,0,16,0,16
 kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\common\record\PartialDefaultRecord.java,78,0,0,6,0,6
 kafka-trunk\kafka-trunk\streams\src\test\java\org\apache\kafka\streams\processor\internals\assignment\ConstrainedPrioritySetTest.java,78,0,0,11,0,11
 kafka-trunk\kafka-trunk\streams\src\test\java\org\apache\kafka\streams\kstream\internals\SessionTupleForwarderTest.java,78,0,0,8,0,8
 kafka-trunk\kafka-trunk\trogdor\src\test\java\org\apache\kafka\trogdor\rest\RestExceptionMapperTest.java,78,0,0,15,3,18
 kafka-trunk\kafka-trunk\clients\src\test\java\org\apache\kafka\common\security\oauthbearer\secured\OAuthBearerValidatorCallbackHandlerTest.java,78,0,0,19,0,19
 kafka-trunk\kafka-trunk\connect\runtime\src\main\java\org\apache\kafka\connect\runtime\rest\entities\ConfigInfos.java,78,0,2,1,4,7
