Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
kafka-trunk\kafka-trunk\jmh-benchmarks\build\generated\sources\annotationProcessor\java\main\org\apache\kafka\jmh\common\jmh_generated\FetchRequestBenchmark_testFetchRequestFromBuffer_jmhTest.java,0,0,0,99,0,99
kafka-trunk\kafka-trunk\metadata\src\main\java\org\apache\kafka\metadata\authorizer\AclMutator.java,0,0,0,6,0,6
kafka-trunk\kafka-trunk\streams\src\test\java\org\apache\kafka\streams\processor\internals\assignment\TaskAssignorConvergenceTest.java,393,0,2,70,0,72
kafka-trunk\kafka-trunk\jmh-benchmarks\build\generated\sources\annotationProcessor\java\main\org\apache\kafka\jmh\server\jmh_generated\PartitionCreationBench_jmhType_B1.java,0,0,0,18,0,18
kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\common\requests\ProduceResponse.java,194,0,44,18,0,62
kafka-trunk\kafka-trunk\streams\src\main\java\org\apache\kafka\streams\processor\internals\assignment\ClientTagAwareStandbyTaskAssignor.java,0,0,4,91,0,95
kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\common\security\scram\internals\ScramSaslClientProvider.java,16,0,1,4,0,5
kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\server\quota\ClientQuotaEntity.java,0,0,0,6,0,6
kafka-trunk\kafka-trunk\streams\src\main\java\org\apache\kafka\streams\kstream\ForeachAction.java,0,0,1,4,0,5
kafka-trunk\kafka-trunk\streams\src\main\java\org\apache\kafka\streams\state\internals\MeteredWindowedKeyValueIterator.java,0,0,2,4,0,6
kafka-trunk\kafka-trunk\metadata\src\main\java\org\apache\kafka\timeline\Revertable.java,0,0,0,3,0,3
kafka-trunk\kafka-trunk\streams\src\main\java\org\apache\kafka\streams\kstream\internals\KStreamKStreamJoin.java,0,0,6,64,0,70
kafka-trunk\kafka-trunk\streams\src\main\java\org\apache\kafka\streams\processor\internals\TaskManager.java,1255,0,22,240,0,262
kafka-trunk\kafka-trunk\streams\src\main\java\org\apache\kafka\streams\kstream\internals\foreignkeyjoin\SubscriptionWrapper.java,0,0,0,7,0,7
kafka-trunk\kafka-trunk\clients\src\generated\java\org\apache\kafka\common\message\DescribeProducersRequestDataJsonConverter.java,74,0,0,18,0,18
kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\common\requests\DescribeUserScramCredentialsRequest.java,56,0,21,8,0,29
kafka-trunk\kafka-trunk\jmh-benchmarks\src\main\java\org\apache\kafka\jmh\acl\AclAuthorizerBenchmark.java,167,0,6,36,0,42
kafka-trunk\kafka-trunk\clients\src\generated\java\org\apache\kafka\common\message\SaslHandshakeRequestData.java,148,0,0,13,0,13
kafka-trunk\kafka-trunk\jmh-benchmarks\src\main\java\org\apache\kafka\jmh\server\CheckpointBench.java,108,0,6,15,0,21
kafka-trunk\kafka-trunk\streams\src\test\java\org\apache\kafka\streams\state\internals\CachingInMemoryKeyValueStoreTest.java,586,0,7,30,0,37
kafka-trunk\kafka-trunk\clients\src\test\java\org\apache\kafka\common\requests\DescribeAclsRequestTest.java,76,0,4,22,0,26
kafka-trunk\kafka-trunk\clients\src\generated\java\org\apache\kafka\common\message\AddPartitionsToTxnRequestDataJsonConverter.java,98,0,0,26,0,26
kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\common\security\ssl\DefaultSslEngineFactory.java,0,0,32,83,0,115
kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\common\requests\ListOffsetsResponse.java,63,0,0,18,0,18
kafka-trunk\kafka-trunk\jmh-benchmarks\build\generated\sources\annotationProcessor\java\main\org\apache\kafka\jmh\producer\jmh_generated\ProducerRequestBenchmark_jmhType_B2.java,21,0,0,8,0,8
kafka-trunk\kafka-trunk\streams\src\main\java\org\apache\kafka\streams\state\internals\InMemoryKeyValueBytesStoreSupplier.java,24,0,0,2,0,2
