Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
automation-framework-master\automation-framework-master\src\main\java\pageObjects\Login_PO.java,32,22,3,2,0,27
automation-framework-master\automation-framework-master\src\main\java\driver\DriverFactory.java,55,17,4,5,0,26
automation-framework-master\automation-framework-master\src\main\java\pageObjects\Base_PO.java,60,60,2,12,0,74
automation-framework-master\automation-framework-master\src\test\java\stepDefinitions\Contact_Us_Steps.java,61,57,16,6,0,79
automation-framework-master\automation-framework-master\src\test\java\stepDefinitions\Login_Portal_Steps.java,37,30,10,2,0,42
automation-framework-master\automation-framework-master\src\main\java\utils\GlobalVars.java,5,3,0,1,0,4
automation-framework-master\automation-framework-master\src\main\java\pageObjects\ContactUs_PO.java,53,37,3,2,0,42
automation-framework-master\automation-framework-master\src\test\java\stepDefinitions\base\Hooks.java,25,13,1,2,0,16
automation-framework-master\automation-framework-master\src\test\java\runners\MainRunner.java,9,2,0,1,0,3
